bàta	p aː ʰt̪ ə
borb	p ɔ r ɔ p
bean	p ɛ n
caibe	kʰ a p ə
guib	k ɤ p
beò	pj ɔː
bealltainn	pj au ɫ̪ t̪ ɪ ɲ
bealach	pj a ɫ̪ ə x
siubhal	ʃ u.ə ɫ̪
iubhar	j u.ə ɾ
dubh	t̪ u
ubh	u
cabhag	kʰ a v a k
sàbh	s̪ aː v
dhuibh	ɣ ɯ i v
dibhe	tʲ i v ə
bheò	vj ɔː
bhealltainn	vj au ɫ̪ t̪ ɪ ɲ
cas	kʰ a s̪
cam	kʰ au m
bacadh	p a ʰk ə ɣ
mucan	m u ʰk ə n
mac	m a ʰk
corc	kʰ ɔ rʰ kʲ
ceòl	kʰʲ ɔː ɫ̪
ceum	kʰʲ eː m
lice	ʎ i ʰkʲ ə
brice	p rʲ i ʰkʲ ə
mic	m i ʰkʲ
cuilc	kʰ u l ʰkʲ
loch	ɫ̪ ɔ x
dòchas	t̪ ɔː x ə s̪
deich	tʲ e ç
dìcheall	tʲ iː ç ə ɫ̪
lionntachd	ʎ uː n̴̪ t̪ʰ ə x k
doimhneachd	t̪ ɔi ɲ ə x k
cneap	k r ɛ ʰp
cneasta	k rʲ e s̪ t̪ ə
cadal	kʰ a t̪ a ɫ̪
fada	f a t̪ ə
diùid	tʲ uː tʲ
dearg	tʲ ɛ r a k
pòsaidh	pʰ ɔː s̪ ɪ
méidh	m eː
odhar	o . ə r
cladhadh	kʰ ɫ̪ ɤ . ə ɣ
modhail	m ɔ ɣ a l
dhà	ɣ aː
modh	m ɔ ɣ
tumadh	t̪ʰ u m ə ɣ
Gàidheal	k ɛː . ə ɫ̪
dhìth	ʝ iː
dhìol	ʝ iə ɫ̪
fathan	f a h a n
gafann	k a f ə nˠ̪
fios	f i s̪
féill	f eː ʎ
fiùran	fj uː r a n
feòl	fj ɔː ɫ̪
fhios	i s̪
fharadh	a r ə ɣ
gad	k a t̪
ugan	u k ə n
gille	kʲ i ʎ ə
leig	ʎ e kʲ
an-diugh	ə ɲˈ tʲ u
nigh	ɲ iː
aghaidh	ɤː . ɪ
fiughar	fj u . ə ɾ
nigheann	ɲ iː . a n̪ˠ
laghail	ɫ̪ ɤ ɣ a l
ghoc	ɣ ɔʰ k
lagh	ɫ̪ ɤ ɣ
ghille	ʝ i ʎ ə
thaigh	h ɤ j
gnè	k r ɛː
h-athair	h a h ɪ ɾʲ
Hearach	h ɛ ɾ ə x
lachan	ɫ̪ a x a n
laoidh	ɫ̪ ɯ j
balach	p a ɫ̪ ə x
leabaidh	ʎ e p ɪ
leum	ʎeːm
leabaidh	l e p ɪ
dà	t̪ aː
bho	v ɔ
leac	l ɛ ʰk
cuilean	kʰ u l a n
sùil	s̪ uː l
balla	p a ɫ̪ ə
ciall	kʰʲ ia ɫ̪
cailleach	kʰ a ʎ ə x
mill	m iː ʎ
maol	m ɯː ɫ̪
màla	m aː ɫ̪ ə
milis	m i l ɪ ʃ
tìm	tʰʲ iː m
meall	mj au ɫ̪
meòg	mj ɔː k
comhairle	kʰ o . ə ɾ l ə
àmhainn	aː v ɪ ɲ
caomh	kʰ ɯː v
caoimhin	kʰ ɯː v ɪ ɲ
làimh	ɫ̪ ai v
mhealladh	vj a ɫ̪ ə ɣ
mheall	vj au ɫ̪
nàbaidh	n̴̪ aː p i
norrag	n̴̪ ɔ r̴ a k
nàire	n aː ɾʲ ɪ
mo	m ɔ
nàbaidh	n aː p ɪ
dona	t̪ ɔ n ə
sean	ʃ ɛ n
neul	ɲ ia ɫ̪
neart	ɲ ɛ ɾ ʃ t̪
nighean	n i . a n
nead	n ɛ t̪
duine	t̪ ɯ ɲ ɪ
càineadh	kʰ aː ɲ ə ɣ
cana	kʰ a n ə
teine	tʰʲ e n ɪ
teanga	tʰʲ ɛ ŋ ɡ ə
fulang	f u ɫ̪ ə ŋ ɡ
aingeal	ai ŋʲ ɡʲ ə ɫ̪
farsaing	f a ɾ s̪ ɪ ŋʲ ɡʲ
ceannaich	kʰʲ a n̴̪ ɪ ç
ann	au n̴̪
bainne	p a ɲ ɪ
tinn	tʰʲ iː ɲ
post	pʰ ɔ s̪ t̪
campa	kʰ au m p ə
peasair	pʰ e s̪ ɪ ɾʲ
cupa	kʰ u ʰp ə
cipean	kʰʲ i ʰp a n
cuip	kʰ u i ʰp
ailp	a l p
piuthar	pj u . ə ɾ
peall	pj au ɫ̪
sa	s̪ ə
phost	f ɔ s̪ t̪
phàiste	f aː ʃ tʲ ə
pheasair	f e s̪ ɪ ɾʲ
pheata	f ɛ ʰt̪ ə
phiuthar	fj u . ə ɾ
pheann	fj au n̴̪
ràmh	ᵲ aː v
rionnag	ᵲ u n̴̪ a k
rùn	ɾ uː n
réic	ɾ eː ʰkʲ
caran	kʰ a ɾ a n
mura	m u ɾ ə
cìr	kʰʲ iː ɾʲ
cuireadh	kʰ u ɾʲ ə ɣ
cearr	kʰʲ aː ᵲ
barra	p a ᵲ ə
neart	ɲ ɛ ɾ ʃ t̪
bord	p ɔː ɾ ʃ t̪
sàr	s̪ aː ɾ
casan	kʰ a s̪ ə n
siùcair	ʃ uː ʰk ɪ ɾʲ
càise	kʰ aː ʃ ɪ
ro	ɾ ɔ
shalach	h a ɫ̪ ə x
glé	k l eː
shoilleir	h ɤ ʎ ɪ ɾʲ
shìl	h iː ʎ
shean	h ɛ n
shiùcair	hj uː ʰk ɪ ɾʲ
sheòladh	hj ɔː ɫ̪ ə ɣ
sràc	s̪ t̪ ɾ aː ʰk
de	tʲ e
a	ə
strì	s̪ t̪ ɾ iː
tasdan	t̪ʰ a s̪ t̪ a n
molta	m ɔ ɫ̪ t̪ ə
bàta	p aː ʰt̪ ə
put	pʰ u ʰt̪
tiugh	tʰʲ u
caillte	kʰ ai ʎ tʲ ə
litir	ʎ i ʰtʲ ɪ ɾʲ
cait	kʰ ɛ ʰtʲ
ailt	a l tʲ
teth	tʰʲ e
leth	ʎ e
srath	s̪ t̪ ɾ a
leotha	l ɔ . ə
piuthar	pj u . ə ɾ
cnòthan	k ɾ ɔː . ə n
beatha	p ɛ h ə
fathan	f a h a n
mhàthair	v aː h ɪ ɾʲ
thòn	h ɔː n
thaigh	h ɤ ʝ
thig	h i kʲ
thinn	h iː ɲ
theaghlach	hj ɔː ɫ̪ ə x
thiugh	hj u
bó	p oː
cóig	kʰ oː kʲ
mór	m oː ɾ
Dùn	d u n
Éideann	eː tʲ ə n̪ˠ
cnèatag	kʰ r ia ʰt̪ʰ a k
luchag	ɫ̪ u x a k
lochan	ɫ̪ ɔ x a n
beagan	p e k a n
balach	p a ɫ̪ ə x
balla	p a ɫ̪ ə
dragh	t̪ ɾ ɤ ɣ
laghail	ɫ̪ ɤ ɣ a l
bann	p au n̴̪
calltainn	kʰ au ɫ̪ t̪ ɪ ɲ
campa	kʰ au m p ə
barr	p aː r̴
carnadh	kʰ aː ɾ n ə ɣ
acras	aʰ k ɾ ə s̪
gealladh	kʲ a ɫ̪ ə ɣ
barra	p a r̴ ə
modhail	m ɔ ɣ a l
eudail	eː t̪ a l
caraich	kʰ a ɾ ɪ ç
mholainn	v ɔ ɫ̪ ɪ ɲ
fhéill	eː ʎ
comhairle	kʰ o . ə ɾ l ɪ
caill	kʰ ai ʎ
cainnt	kʰ ai ɲ tʲ
aibhne	ai v ɲ ə
aimhreid	ai v ɾʲ ɪ tʲ
aird	aː ɾ ʃ t̪
baile	p a l ɪ
lainnir	ɫ̪ a ɲ ɪ ɾʲ
àlainn	aː ɫ̪ ɪ ɲ
bràmar	p r aː m ə ɾ
àite	aː ʰtʲ ɪ
càil	kʰ aː l
Gàidheal	k ɛː . ə ɫ̪
pàipear	pʰ ɛː ʰp ə ɾ
maol	m ɯː ɫ̪
caomh	kʰ ɯː v
aoibhneas	ɯi v ɲ ə s̪
caoimhneas	kʰ ɯi v ɲ ə s̪
faoileag	f ɯː l a k
caoimhin	kʰ ɯː v ɪ ɲ
maise	m a ʃ ə
cuine	kʰ u ɲ ə
teth	tʰʲ e
le	l e
faoileag	f ɯː l a k
uiseag	ɯ ʃ a k
rinnear	ɾ i ɲ ə ɾ
mìltean	m iː l tʲ ə n
feadh	fj ɤ ɣ
seagh	ʃ ɤ ɣ
eadar	e t̪ ə ɾ
creagan	kʰ ɾ e k ə n
peann	pʰ j au n̴̪
teannta	t̪ʰʲ au n̴̪ t̪ ə
fearna	fj aː ɾ n ə
dearrsadh	t̪ʲ aː r̴ s̪ ə ɣ
eallach	j a ɫ̪ ə x
earrach	j a r̴ ə x
ceannard	kʰʲ a n̴̪ a ɾ ʃ t̪
gealladh	kʲ a ɫ̪ ə ɣ
fear	f ɛ ɾ
earrann	ɛ r̴ ə n̴̪
dèan	tʲ ia n
cnèatag	kʰ ɾ ia ʰt̪ a k
aimhreid	ai v ɾʲ ɪ tʲ
bigein	p i kʲ ɪ ɲ
greim	k ɾ ei m
peinnsean	pʰ ei ɲ ʃ a n
ceist	kʰʲ e ʃ tʲ
seinneadair	ʃ e ɲ ə t̪ ɪ ɾʲ
crè	kʰ r ɛː
sèimh	ʃ ɛː v
dè	tʲ eː
cèile	kʰʲ eː l ə
deoch	tʲ ɔ x
leotha	l ɔ . ə
eòlas	j ɔː ɫ̪ ə s̪
eòin	j ɔː ɲ
seòl	ʃ ɔː ɫ̪
meòir	mj ɔː ɾʲ
Seumas	ʃ eː m ə s̪
leum	ʎ eː m
ceud	kʰʲ ia t̪
feur	f ia ɾ
litir	ʎ i ʰtʰʲ ɪ ɾʲ
fuirich	f u ɾʲ ɪ ç
till	tʰʲ iː ʎ
sinnsear	ʃ iː ɲ ʃ ə ɾ
thig	h i kʲ
tinneas	tʰʲ i ɲ ə s̪
cìr	kʰʲ iː ɾʲ
rìbhinn	r̴ iː v ɪ ɲ
liath	ʎ iə
iarraidh	iə r̴ ɪ
sgian	s̪ kʲ ia n
dia	tʲ ia
ionnsaich	j uː n̴̪ s ɪ ç
lionn	ʎ uː n̴̪
fionntach	fj uː n̴̪ t̪ ə x
fionnar	fj u n̴̪ ə ɾ
sionnach	ʃ u n̴̪ ə x
fios	f i s̪
lios	ʎ i s̪
mìos	m iə s̪
cìoch	kʰʲ iə x
iubhar	j u . ə ɾ
ciurr	kʰʲ uː r̴
siursach	ʃ uː ɾ s̪ ə x
fliuch	f l u x
siubhal	ʃ u . ə ɫ̪
diù	tʲ uː
ciùil	kʰʲ uː l
gob	k o p
bogha	p o . ə
tom	t̪ʰ ɔu m
tolltach	t̪ʰ ɔu ɫ̪ t̪ ə x
torr	t̪ʰ ɔː r̴
dornan	t̪ ɔː ɾ n a n
loch	ɫ̪ ɔ x
follais	f ɔ ɫ̪ ɪ ʃ
dorra	t̪ ɔ r̴ ə
broinn	p ɾ əi ɲ
oillt	əi ʎʲ tʲ
goid	k ɤ tʲ
doirbh	t̪ ɤ ɾʲ ɤ v
coileach	kʰ ɤ l ə x
toil	t̪ʰ ɔ l
coire	kʰ ɔ ɾʲ ə
bò	p oː
còig	kʰ oː kʲ
òir	ɔː ɾʲ
bòid	p ɔː tʲ
cum	kʰ uː m
sunndach	s̪ uː n̴̪ t̪ ə x
murn	m uː ɾ n
dubh	t̪ u
cumail	kʰ u m a l
cuan	kʰ ua n
uaine	ua ɲ ə
tuagh	t̪ʰ uə ɣ
duais	t̪ uə ʃ
uisge	ɯ ʃ kʲ ə
duine	t̪ ɯ ɲ ə
buidhe	p ɯi . ə
suidhe	s̪ ɯi . ə
druim	t̪ ɾ ɯi m
muinntir	m ɯi ɲ tʲ ɪ ɾʲ
cluinneadh	k ɫ̪ ɯ ɲ ə ɣ
tuilleadh	t̪ʰ ɯ ʎ ə ɣ
cuir	kʰ u ɾʲ
tuit	t̪ʰ u ʰtʲ
sùil	s̪ uː l
cùis	kʰ uː ʃ
cabhlach	kʰ au ɫ̪ ə x
samhradh	s̪ au ɾ ə ɣ
adhbran	ɤː p ɾ a n
ladhran	ɫ̪ ɤː ɾ a n
snaidhm	s̪ n ai m
saighdear	s̪ ɤi tʲ ə ɾ
maighdean	m ɤi tʲ ə n
theaghlach	hj ɤː ɫ̪ ə x
geamhradh	kʲ ɛu ɾ ə ɣ
leamhrag	ʎ ɛu ɾ a k
tiodhlaic	tʰʲ iə ɫ̪ ɪ ʰkʰʲ
ioghnadh	iə n ə ɣ
foghnaidh	f oː n ɪ
roghnaich	r̴ oː n ɪ ç
goibhle	k ɤi l ə
goibhnean	k ɤi n ə n
oighre	ɤ i ɾʲ ə
sloighre	s̪ ɫ̪ ɤ i ɾʲ ə
doimhne	t̪ ɔi ɲ ə
doimhneachd	t̪ ɔi ɲ ə x k
cuimhne	kʰ ui ɲ ə
cuimhneachadh	kʰ ui ɲ ə x ə ɣ
Alba	a ɫ̪ a p ə
marbh	m a ɾ a v
tilg	tʰʲ i l i kʲ
arm	a ɾ a m
iomradh	i m i ɾ ə ɣ
